"zip","type","primary_city","state","county","latitude","longitude","population"
"77995","STANDARD","Yoakum","TX","Lavaca County",29.29,-97.14,8526
"78002","STANDARD","Atascosa","TX","Bexar County",29.28,-98.73,5827
"78003","STANDARD","Bandera","TX","Bandera County",29.72,-99.07,7278
"78004","STANDARD","Bergheim","TX","Kendall County",29.81,-98.58,614
"78005","STANDARD","Bigfoot","TX","Frio County",29.05,-98.85,588
"78006","STANDARD","Boerne","TX","Kendall County",29.8,-98.73,25604
"78007","STANDARD","Calliham","TX","McMullen County",28.46,-98.35,120
"78008","STANDARD","Campbellton","TX","Atascosa County",28.75,-98.3,308
"78009","STANDARD","Castroville","TX","Medina County",29.34,-98.87,7181
"78010","STANDARD","Center Point","TX","Kerr County",29.93,-99.03,2681
"78011","STANDARD","Charlotte","TX","Atascosa County",28.85,-98.7,1787
"78012","STANDARD","Christine","TX","Atascosa County",28.78,-98.49,415
"78013","STANDARD","Comfort","TX","Kendall County",29.97,-98.9,4990
"78014","STANDARD","Cotulla","TX","La Salle County",28.43,-99.23,3885
"78015","STANDARD","Boerne","TX","Bexar County",29.8,-98.73,8845
"78016","STANDARD","Devine","TX","Medina County",29.14,-98.9,8205
"78017","STANDARD","Dilley","TX","Frio County",28.66,-99.17,3035
"78021","STANDARD","Fowlerton","TX","La Salle County",28.45,-98.81,116
"78022","STANDARD","George West","TX","Live Oak County",28.33,-98.11,4269
"78023","STANDARD","Helotes","TX","Bexar County",29.56,-98.69,20731
"78024","STANDARD","Hunt","TX","Kerr County",30.06,-99.33,1390
"78025","STANDARD","Ingram","TX","Kerr County",30.07,-99.23,4960
"78026","STANDARD","Jourdanton","TX","Atascosa County",28.91,-98.54,4965
"78027","STANDARD","Kendalia","TX","Kendall County",29.96,-98.51,413
"78028","STANDARD","Kerrville","TX","Kerr County",30.04,-99.13,30565
"78039","STANDARD","La Coste","TX","Medina County",29.3,-98.81,1711
"78040","STANDARD","Laredo","TX","Webb County",27.53,-99.48,36390
"78041","STANDARD","Laredo","TX","Webb County",27.53,-99.48,38909
"78043","STANDARD","Laredo","TX","Webb County",27.53,-99.48,34907
